archaea	Thermococcus_gorgonarius	GCF_002214385.1_ASM221438v1
archaea	Natrarchaeobius_chitinivorans	GCF_003841465.1_ASM384146v1
archaea	Haloterrigena_sp._SYSU_A121-1	GCF_013342135.1_ASM1334213v1
archaea	Halorubrum_sp._AJ67	GCF_000513435.1_HRSP_AJ67
archaea	Natrialba_aegyptia	GCF_000337535.1_ASM33753v1
archaea	Methanosphaera_sp._BMS	GCF_003268005.1_ASM326800v1
archaea	Halodesulfurarchaeum_formicicum	GCF_001767315.1_ASM176731v1
archaea	Thermococcus_sp._MAR1	GCF_012027305.1_ASM1202730v1
archaea	Haloferax_massiliensis	GCF_001368915.1_PRJEB5949_assembly_1
archaea	Thermococcus_sibiricus	GCF_000022545.1_ASM2254v1
archaea	Thermococcus_sp._ES12	GCF_012027515.1_ASM1202751v1
archaea	Haloarchaeobius_iranensis	GCF_900103505.1_IMG-taxon_2651870127_annotated_assembly
archaea	Methanosphaera_sp._WGK6	GCF_001729965.1_ASM172996v1
archaea	Acidilobus_saccharovorans	GCF_000144915.1_ASM14491v1
archaea	Methanohalophilus_mahii	GCF_000025865.1_ASM2586v1
archaea	Natronorubrum_bangense	GCF_000337715.1_ASM33771v1
archaea	Halorubrum_sp._BOL3-1	GCF_004114375.1_ASM411437v1
archaea	Halorubrum_aquaticum	GCF_900113615.1_IMG-taxon_2617270873_annotated_assembly
archaea	Halorubrum_lipolyticum	GCF_000337375.1_ASM33737v1
archaea	Thermococcus_radiotolerans	GCF_002214565.1_ASM221456v1
archaea	Methanoplanus_limicola	GCF_000243255.1_ASM24325v1
archaea	Methanolacinia_petrolearia	GCF_000147875.1_ASM14787v1
archaea	Methanoregula_boonei	GCF_000017625.1_ASM1762v1
archaea	Vulcanisaeta_thermophila	GCF_001748385.1_ASM174838v1
archaea	Halorubrum_aidingense	GCF_000336995.1_ASM33699v1
archaea	Methanolobus_zinderi	GCF_013388255.1_ASM1338825v1
archaea	Haloarcula_quadrata	GCF_003634715.1_ASM363471v1
archaea	Halobacterium_salinarum	GCF_000006805.1_ASM680v1
archaea	Nitrososphaera_sp._AFS	GCF_009898475.1_ASM989847v1
archaea	Thermococcus_barophilus	GCF_000151105.1_ASM15110v1
archaea	Methanosarcina_siciliae	GCF_000970085.1_ASM97008v1
archaea	Methanolobus_tindarius	GCF_000504205.1_ASM50420v1
archaea	Halorubrum_ezzemoulense	GCF_000421805.1_ASM42180v1
archaea	Halomicroarcula_salina	GCF_010119195.1_ASM1011919v1
archaea	Thermococcus_sp._MV5	GCF_012027425.1_ASM1202742v1
archaea	Haloarcula_hispanica	GCF_000223905.1_ASM22390v1
archaea	Haloarcula_sp._CBA1130	GCF_008729005.1_ASM872900v1
archaea	Halorubrum_sp._WN019	GCF_002286985.1_ASM228698v1
archaea	Metallosphaera_cuprina	GCF_000204925.1_ASM20492v1
archaea	Methanobacterium_sp._A39	GCF_001729285.1_ASM172928v1
archaea	Haloferax_mediterranei	GCF_000306765.1_ASM30676v1
archaea	Methanogenium_cariaci	GCF_001315945.1_ASM131594v1
archaea	Halorubrum_sp._Ea8	GCF_002252925.1_ASM225292v1
archaea	Halorubrum_sp._GN11GM_10-3_MGM	GCF_005435175.1_ASM543517v1
archaea	Candidatus_Nitrososphaera_evergladensis	GCF_000730285.1_ASM73028v1
archaea	Methanobrevibacter_filiformis	GCF_001639265.1_ASM163926v1
archaea	Methanospirillum_stamsii	GCF_003173335.1_ASM317333v1
archaea	Haloplanus_aerogenes	GCF_003688715.1_ASM368871v1
archaea	Methanococcoides_sp._SA1	GCF_013166765.1_ASM1316676v1
archaea	Archaeoglobus_profundus	GCF_000025285.1_ASM2528v1
archaea	Nitrosopumilus_sp._b2	GCF_014078535.1_ASM1407853v1
archaea	Methanohalophilus_sp._RSK	GCF_003722075.1_MethanohalophilusRSK
archaea	Pyrodictium_occultum	GCF_001462395.1_ASM146239v1
archaea	Candidatus_Nitrosocosmicus_franklandus	GCF_900696045.1_Nitrosocosmicus_franklandus_C13
archaea	Natronococcus_amylolyticus	GCF_000337675.1_ASM33767v1
archaea	Halorubrum_vacuolatum	GCF_900188065.1_IMG-taxon_2724679803_annotated_assembly
archaea	Methanospirillum_lacunae	GCF_003173355.1_ASM317335v1
archaea	Acidianus_sp._RZ1	GCF_013133895.1_ASM1313389v1
archaea	Methanosarcina_sp._MTP4	GCF_000970045.1_ASM97004v1
archaea	Haloarcula_argentinensis	GCF_000336895.1_ASM33689v1
archaea	Haloferax_sp._Atlit-105R	GCF_003665905.1_ASM366590v1
archaea	Haloarcula_sp._MD-130	GCF_005406125.1_ASM540612v1
